feature,mean_missing_rate,std_missing_rate,min_missing_rate,max_missing_rate,range_missing_rate,num_cameras_all_present,num_cameras_all_missing,num_cameras_observed
flowers,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
fog,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
gloomy,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
glowing,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
ice,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
lush,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
midday,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
moist,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
mysterious,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
night,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
rain,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
rugged,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
sentimental,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
snow,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
soothing,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
spring,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
storm,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
stressful,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
summer,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
sunny,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
sunrisesunset,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
warm,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
windy,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
winter,0.00022394109539466625,0.0009359613570627448,0.0,0.004794520547945206,0.004794520547945206,49,0,53
Date,0.0,0.0,0.0,0.0,0.0,53,0,53
Day,0.0,0.0,0.0,0.0,0.0,53,0,53
Filename,0.0,0.0,0.0,0.0,0.0,53,0,53
Fog,0.0,0.0,0.0,0.0,0.0,53,0,53
Hail,0.0,0.0,0.0,0.0,0.0,53,0,53
Hour,0.0,0.0,0.0,0.0,0.0,53,0,53
Latitude,0.0,0.0,0.0,0.0,0.0,53,0,53
Longitude,0.0,0.0,0.0,0.0,0.0,53,0,53
Metar,0.0,0.0,0.0,0.0,0.0,53,0,53
Min,0.0,0.0,0.0,0.0,0.0,53,0,53
Month,0.0,0.0,0.0,0.0,0.0,53,0,53
Rain,0.0,0.0,0.0,0.0,0.0,53,0,53
Snow,0.0,0.0,0.0,0.0,0.0,53,0,53
TempI,0.0,0.0,0.0,0.0,0.0,53,0,53
TempM,0.0,0.0,0.0,0.0,0.0,53,0,53
Thunder,0.0,0.0,0.0,0.0,0.0,53,0,53
Timezone,0.0,0.0,0.0,0.0,0.0,53,0,53
Tornado,0.0,0.0,0.0,0.0,0.0,53,0,53
WindChillI,0.0,0.0,0.0,0.0,0.0,53,0,53
WindChillM,0.0,0.0,0.0,0.0,0.0,53,0,53
Year,0.0,0.0,0.0,0.0,0.0,53,0,53
hoiem_Accuracy,0.0,0.0,0.0,0.0,0.0,53,0,53
hoiem_MCR,0.0,0.0,0.0,0.0,0.0,53,0,53
svetlana2010_Accuracy,0.0,0.0,0.0,0.0,0.0,53,0,53
svetlana2010_MCR,0.0,0.0,0.0,0.0,0.0,53,0,53
tcwc_Accuracy,0.0,0.0,0.0,0.0,0.0,53,0,53
tcwc_MCR,0.0,0.0,0.0,0.0,0.0,53,0,53
